name,Continent,TOTAL,BusinessandMgmt,Education,Engineering,FineandAppliedArts,HealthProfessions,Humanities,IntensiveEnglish,MathandComputerScience,PhysicalandLifeSciences,SocialSciences,OtherFieldsofStudy,Undeclared
Bangladesh,Asia,1574.5,1.7,0.2,8.1,0.4,0.7,0.2,0.0,3.5,2.9,1.2,1.0,0.2
Brazil,South America,13755.9,22.8,2.0,11.9,7.9,3.3,3.4,5.4,3.9,7.4,8.6,18.8,4.6
Canada,North America,27148.2,15.6,5.7,8.2,8.3,15.2,4.1,0.1,3.6,9.1,12.0,15.0,3.1
China,Asia,270548.2,25.1,1.8,19.2,5.1,1.5,1.1,2.9,13.4,9.4,8.1,9.8,2.5
Colombia,South America,7229.9,19.9,2.7,14.9,8.5,2.7,4.7,5.8,4.2,9.7,10.2,14.1,2.4
France,Europe,8448.4,26.1,0.9,12.9,5.6,1.5,6.3,1.4,4.6,5.8,9.2,20.4,5.4
Germany,Europe,9807.2,26.2,1.6,8.0,4.2,2.1,6.4,0.8,3.8,7.5,12.6,20.6,6.1
Hong Kong,Asia,7097.6,22.5,1.3,7.5,8.6,2.4,2.5,1.5,6.3,6.1,13.1,14.6,3.7
India,Asia,139184.7,12.2,0.5,36.5,1.6,3.9,0.5,0.2,28.7,8.5,2.7,3.9,0.8
Indonesia,Asia,7930.3,30.1,2.3,17.3,8.1,2.5,1.9,0.9,6.4,6.4,8.6,12.9,2.9
Iran,Asia,8709.5,3.7,1.0,43.7,3.9,1.7,0.9,0.6,9.0,9.0,3.1,3.1,0.4
Japan,Asia,19876.2,18.8,2.6,4.5,7.6,2.8,4.7,14.0,3.0,5.0,11.7,20.5,4.9
Kenya,Africa,1005.0,3.4,0.9,2.1,0.4,4.1,0.7,0.1,1.0,2.5,1.7,2.8,0.4
Kuwait,Asia,5530.4,7.4,0.4,32.0,1.1,1.1,0.4,9.9,0.8,1.8,1.7,2.9,0.6
Malaysia,Asia,7257.3,19.4,1.9,28.0,4.2,2.9,1.5,0.3,7.6,11.6,10.0,9.8,2.8
Mexico,North America,15135.1,20.2,2.9,16.1,7.9,3.3,3.7,4.3,4.5,7.7,9.3,16.0,4.2
Nepal,Asia,10415.6,17.4,0.7,17.7,1.4,7.2,1.0,0.3,19.0,19.9,5.2,8.2,2.1
Nigeria,Africa,9397.5,15.5,1.7,23.1,2.3,13.2,2.4,0.3,8.3,12.4,7.2,10.9,2.7
Pakistan,Asia,2282.4,8.3,1.0,9.7,0.9,1.7,0.8,0.2,4.6,2.9,4.3,4.0,1.5
Russia,Europe,1922.2,11.3,1.0,2.5,2.9,1.3,2.3,0.9,2.6,4.7,4.4,5.0,1.1
Saudi Arabia,Asia,42649.3,18.0,2.9,25.0,1.9,6.1,1.2,20.3,8.4,4.5,2.9,6.9,2.0
South Korea,Asia,64665.8,16.2,3.2,12.6,12.2,4.8,4.1,3.5,6.6,7.5,11.6,14.5,3.3
Spain,Europe,4508.1,16.5,1.3,11.2,4.6,1.6,6.9,1.1,3.0,3.9,5.5,11.6,2.9
Taiwan,Asia,22734.5,21.2,3.6,16.7,11.4,3.8,2.0,3.7,8.0,10.4,6.7,10.6,1.9
Thailand,Asia,6027.1,18.4,1.7,13.3,6.4,3.5,1.2,3.2,6.2,7.2,5.6,11.3,2.1
Turkey,Europe,11133.3,15.1,3.9,25.0,5.7,1.0,2.7,3.5,10.2,8.4,13.5,9.1,2.0
United Kingdom,Europe,10308.9,18.2,3.5,4.9,7.4,3.6,6.3,0.2,3.3,7.6,16.1,22.7,6.1
Venezuela,South America,7073.8,27.1,2.0,16.3,7.4,3.4,1.9,8.8,4.0,5.0,6.4,14.9,2.9
Vietnam,Asia,18752.9,34.4,1.2,10.2,3.3,4.5,1.4,5.4,9.6,7.6,4.9,11.2,6.2
