Year,Personal and Family,Foreign Government or University,Current Employment,U.S. College or University,Other Sources
1999,345570,22927,11578,97095,37552
2000,366629,21684,12908,108622,38023
2001,395839,21535,10940,120364,34320
2002,385889,16273,11119,124298,48743
2003,385543,13699,10111,134015,29141
2004,349373,15069,21034,138515,41048
2005,358318,14476,21745,146211,24016
2006,358281,18704,29262,152017,24721
2007,388821,21085,29399,161633,22867
2008,435879,24850,33581,152457,24849
2009,427567,31451,36201,166369,29335
2010,458667,41589,33625,165544,23852
2011,486524,44344,40494,164394,28739
2012,520920,57898,43800,169566,27460
2013,574129,66147,49503,171218,25055
2014,619999,75042,48632,203337,27916
2015,694152,77244,68893,177453,26097
2016,650960,61837,177773,162134,26118
2017,641318,56549,205642,172531,18752
2018,623901,46937,225378,183647,15436
