Country,Region,1949,1954,1959,1964,1969,1974,1979,1984,1989,1994,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,latitude,longitude
"Africa, Sub-saharan, Unspecified","AFRICA, SUB-SAHARAN",19,-,-,9,17,30,-,-,-,18,9,8,0,1,1,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,,
Burundi,East Africa,-,-,-,6,6,5,12,32,54,68,40,55,75,66,80,82,78,85,87,85,113,123,103,124,122,165,148,180,134,141,-3.3730559999999996,29.918885999999997
Djibouti,East Africa,-,-,-,-,-,1,2,16,19,18,7,8,8,5,2,5,15,14,5,13,3,11,8,13,7,7,9,10,9,9,11.825138,42.590275
Eritrea,East Africa,-,-,-,-,-,-,-,-,-,17,105,134,161,141,127,194,199,184,163,168,164,120,110,106,97,108,109,138,151,117,15.179383999999999,39.782334000000006
Ethiopia,East Africa,37,62,170,266,540,2050,1340,2120,2020,1325,1286,1205,1133,1119,1060,1129,1266,1328,1316,1583,1553,1392,1334,1463,1516,1472,1517,1847,2118,2061,9.145,40.489672999999996
Kenya,East Africa,-,19,156,774,492,870,1850,1890,2200,2603,5684,6229,7097,7862,7381,6728,6559,6349,5838,5877,5384,4666,3898,3516,3201,3072,3019,3189,3322,3451,-0.023559,37.906193
Rwanda,East Africa,-,-,-,2,1,4,6,26,89,72,131,261,263,149,275,191,215,210,270,366,451,457,465,565,720,800,928,1088,1232,1292,-1.940278,29.873888
Seychelles,East Africa,-,-,-,2,5,2,5,8,21,18,15,13,20,19,10,10,2,6,8,9,5,6,10,16,16,14,20,16,11,16,-4.679574,55.491977
Somalia,East Africa,-,2,11,102,80,39,220,710,420,91,91,96,87,87,37,55,50,78,37,40,36,26,34,30,15,32,35,50,67,76,5.152149,46.199616
South Sudan,East Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,18,28,36,48,76,63,6.876992,31.306978
Sudan,East Africa,-,7,53,180,135,350,680,690,540,440,354,366,378,431,279,290,309,321,224,217,213,236,180,187,186,233,253,324,331,319,12.862807,30.217636
Tanzania,East Africa,-,5,38,305,215,350,480,560,560,704,1091,1528,1814,1822,1471,1332,1239,1196,1192,1217,1098,1006,906,950,889,867,840,811,824,834,-6.369028,34.888822
Uganda,East Africa,-,4,29,223,257,240,430,430,470,559,693,754,805,776,696,632,685,743,769,836,852,820,779,783,762,762,776,779,818,848,1.373333,32.290275
"East Africa, Unspecified",East Africa,-,-,-,-,-,38,68,66,53,-,-,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cameroon,Central Africa,-,1,9,94,125,250,770,970,1240,758,903,870,967,1171,1216,1364,1582,1799,1891,1826,1881,1659,1530,1472,1285,1212,1210,1334,1382,1188,7.369722,12.354722
Central African Republic,Central Africa,-,-,-,-,5,16,9,15,22,22,20,18,12,23,40,32,34,47,47,42,32,29,28,28,11,13,13,15,14,17,6.611111,20.939444
Chad,Central Africa,-,-,-,2,10,2,23,30,15,25,42,51,60,90,95,75,73,120,127,138,96,99,84,89,81,61,52,66,75,65,15.454166,18.732207
"Congo, Republic of the (Brazzaville)",Central Africa,-,-,-,15,30,6,9,6,39,22,12,0,8,3,9,23,86,143,150,208,229,240,249,309,282,288,337,268,298,284,-0.228021,15.827658999999999
"Congo, Dem. Rep. of the (Kinshasa)",Central Africa,-,5,2,94,91,110,210,230,380,370,489,411,422,429,340,323,308,271,282,247,249,252,320,386,571,755,949,1137,1123,1164,-4.038333000000001,21.758664000000003
Equatorial Guinea,Central Africa,-,-,-,1,-,1,3,7,16,16,22,44,35,94,79,104,160,196,98,94,78,119,164,196,253,314,339,360,335,280,1.6508009999999997,10.267895
Gabon,Central Africa,-,-,-,3,3,1,14,42,22,67,74,98,101,125,105,145,161,230,303,262,306,431,402,378,397,388,410,363,332,327,-0.803689,11.609444
São Tomé & Príncipe,Central Africa,-,-,-,-,-,-,-,9,16,11,16,13,7,4,5,8,6,9,4,2,1,2,1,3,3,1,1,2,3,0,0.18636,6.613081
"Central Africa, Unspecified",Central Africa,-,3,-,-,-,14,22,26,16,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angola,Southern Africa,-,-,1,26,21,10,30,15,34,136,198,348,360,432,442,431,415,442,503,544,615,699,779,812,985,1184,1296,1257,1183,1014,-11.202691999999999,17.873887
Botswana,Southern Africa,-,-,-,3,22,18,79,220,230,417,1053,941,1004,688,488,338,284,227,236,298,212,229,175,216,228,257,246,296,233,214,-22.328474,24.684866
Comoros,Southern Africa,-,-,-,-,-,-,1,1,14,7,22,38,44,31,22,23,29,39,42,23,50,23,9,19,27,32,32,10,12,18,-11.875001,43.872219
Eswatini,Southern Africa,-,-,-,7,25,32,53,109,157,150,71,104,88,84,86,96,98,114,128,156,140,146,154,182,177,165,192,183,188,181,,
Lesotho,Southern Africa,-,-,3,12,13,19,61,79,115,62,63,35,39,38,39,41,52,57,45,61,48,51,46,41,41,56,61,59,55,58,-29.609988,28.233608
Madagascar,Southern Africa,-,-,1,22,7,9,30,44,70,77,114,115,124,119,109,127,112,136,130,123,142,146,133,124,151,122,126,143,132,159,-18.766947000000002,46.869107
Malawi,Southern Africa,-,-,2,83,65,58,75,112,300,239,308,428,475,391,399,375,347,321,297,315,274,269,258,252,275,272,289,317,306,311,-13.254307999999998,34.301525
Mauritius,Southern Africa,-,9,10,9,18,21,40,97,152,222,209,246,251,228,209,188,210,205,218,221,210,247,205,228,221,231,250,283,288,311,-20.348404000000002,57.552152
Mozambique,Southern Africa,-,2,2,19,33,12,11,8,27,78,82,86,106,108,93,106,98,80,78,89,88,76,67,88,91,108,109,120,111,113,-18.665695,35.529562
Namibia,Southern Africa,-,3,14,6,18,7,41,86,152,124,99,117,80,111,95,66,89,61,66,60,76,73,63,65,61,67,76,93,101,105,-22.957639999999998,18.49041
Reunion,Southern Africa,-,-,-,-,-,1,-,-,1,-,3,2,20,4,2,8,11,6,6,8,2,7,1,2,2,1,5,2,6,1,-21.115141,55.536384
South Africa,Southern Africa,118,157,181,390,457,510,1170,1610,2050,1919,1962,2106,2232,2095,1971,1699,1709,1665,1620,1703,1656,1669,1610,1816,1716,1838,1813,1911,2040,2042,-30.559482,22.937506
