country,medianHouseholdIncome,medianPerCapitaIncome,pop2020,latitude,longitude,total
Norway,51489,19308,5421.241,60.472024,8.468946,0.38681180194719256
Sweden,50514,18632,10099.265,60.128161,18.643501,0.4240902679551433
Luxembourg,52493,18418,625.978,49.815273,6.129583,0.13898252015246543
Denmark,44360,18262,5792.202,56.26392,9.501785,0.23462579516391174
Finland,24615,15725,5540.72,61.92411,25.748151,0.12471303368515282
Canada,41280,15181,37742.154,56.130366,-106.34677099999999,0.7248393931093599
Australia,46555,15026,25499.884,-25.274398,133.775136,0.1616085782978464
Netherlands,38584,14450,17134.872,52.132633,5.291266,0.11368628840647307
Germany,33333,14098,83783.942,51.165690999999995,10.451526,0.11719429482083811
France,31112,12445,65273.511,46.227638,2.213749,0.12711128714985165
United Kingdom,31617,12399,67886.011,55.378051,-3.435973,0.13945435680408444
Austria,34911,12284,9006.398,47.516231,14.550072,0.11502933803280735
New Zealand,35562,12147,4822.233,-40.900557,174.88597099999998,0.2718657518207851
South Korea,40861,11950,51269.185,35.907757000000004,127.766922,1.3775721225137478
Japan,33822,10840,126476.461,36.204824,138.252924,0.1547165365419262
Belgium,26703,10189,11589.623,50.503887,4.469936,0.07713797075193904
Hong Kong,35443,9705,7496.981,22.396428,114.10949699999999,1.0705642711379422
Slovenia,25969,8656,2078.938,46.151241,14.995463,0.10919036546544438
Ireland,25085,8048,4937.786,53.41291,-8.243889999999999,0.23451806133356123
Israel,30364,7847,8655.535,31.046051000000002,34.851612,0.2807452110123753
Czech Republic,22913,7821,10708.981,49.817492,15.472961999999999,0.07246254335496534
Kuwait,40854,7487,4270.571,29.311659999999996,47.481766,1.1977321065496862
Singapore,32360,7345,5850.342,1.352083,103.819836,0.7790997517751954
Spain,21959,7284,46754.778,40.463667,-3.7492199999999998,0.10764675216723305
Taiwan,32762,6882,23816.775,23.69781,120.96051499999999,0.9181343821739089
Italy,20085,6874,60461.826,41.87194,12.56738,0.07072230997456147
Malta,21141,6869,441.543,35.937496,14.375416,0.11550403924419592
Greece,17777,6086,10423.054,39.074208,21.824312,0.19629563465755814
Portugal,16186,5519,10196.709,39.399871999999995,-8.224454,0.09306924420418392
Slovakia,17415,5455,5459.642,48.669026,19.699023999999998,0.06630471375229365
Belarus,15085,5236,9449.323,53.709807,27.953389,0.037568829004998555
Croatia,16231,5177,4105.267,45.1,15.2,0.14152550857228044
Qatar,26555,5117,2881.053,25.354826,51.183884,0.3450127436045085
Estonia,12577,5031,1326.535,58.595271999999994,25.013607,0.16433791795919445
Cyprus,18242,4932,1207.359,35.126413,33.429859,0.3520079777431568
Bahrain,24693,4778,1701.575,25.930414000000003,50.637772,0.26975008448055476
Lithuania,12375,4719,2722.289,55.169438,23.881275,0.10432397148135264
Poland,15338,4578,37846.611,51.919438,19.145135999999997,0.0417738856459301
Hungary,12445,4493,9660.351,47.162494,19.503304,0.07142597613689192
Russia,11724,4129,145934.462,61.52401,105.31875600000001,0.033563011319423644
Argentina,14432,4109,45195.774,-38.416097,-63.616671999999994,0.040866652709609534
Latvia,10461,4000,1886.198,56.879635,24.603189,0.1563992751556305
Ukraine,11074,3876,43733.762,48.379433,31.16558,0.03406978800497428
Montenegro,11519,3123,628.066,42.708678000000006,19.37439,0.17354863979263324
Iran,12046,3115,83992.949,32.427908,53.68804599999999,0.10410397663260997
Serbia,8921,3020,8737.371,44.016521000000004,21.005859,0.11914338992816033
Lebanon,13004,2960,6825.445,33.854721000000005,35.862285,0.18548241176948904
Mexico,11680,2900,128932.753,23.634501,-102.552784,0.11012717614119355
